titleId,ordering,title,region,language,types,attributes,isOriginalTitle,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0034861,4,"Hold the Lion, Please",\N,\N,original,\N,1,tt0034861,short,"Hold the Lion, Please","Hold the Lion, Please",0.0,1942,\N,8,"Animation,Comedy,Family",7.3,418.0
tt0035017,17,La main du diable,\N,\N,original,\N,1,tt0035017,movie,Carnival of Sinners,La main du diable,0.0,1943,\N,78,"Fantasy,Horror",7.4,1042.0
tt0035209,12,Prelude to War,\N,\N,original,\N,1,tt0035209,movie,Prelude to War,Prelude to War,0.0,1942,\N,52,"Documentary,War",7.0,1706.0
tt0035228,3,O Pátio das Cantigas,\N,\N,original,\N,1,tt0035228,movie,The Courtyard of the Ballads,O Pátio das Cantigas,0.0,1942,\N,121,"Comedy,Musical",7.8,1030.0
tt0035555,10,Who Done It?,\N,\N,original,\N,1,tt0035555,movie,Who Done It?,Who Done It?,0.0,1942,\N,77,"Comedy,Film-Noir,Mystery",7.5,2052.0
tt0036052,3,Jack-Wabbit and the Beanstalk,\N,\N,original,\N,1,tt0036052,short,Jack-Wabbit and the Beanstalk,Jack-Wabbit and the Beanstalk,0.0,1943,\N,7,"Animation,Comedy,Family",7.2,257.0
tt0036336,4,Secret Agent,\N,\N,original,\N,1,tt0036336,short,Secret Agent,Secret Agent,0.0,1943,\N,8,"Animation,Short",6.7,429.0
tt0036342,14,Shadow of a Doubt,\N,\N,original,\N,1,tt0036342,movie,Shadow of a Doubt,Shadow of a Doubt,0.0,1943,\N,108,Thriller,7.9,55116.0
tt0036497,2,Victory Through Air Power,\N,\N,original,\N,1,tt0036497,movie,Victory Through Air Power,Victory Through Air Power,0.0,1943,\N,70,"Animation,Documentary,History",6.6,783.0
tt0036515,14,Watch on the Rhine,\N,\N,original,\N,1,tt0036515,movie,Watch on the Rhine,Watch on the Rhine,0.0,1943,\N,114,Drama,7.3,3563.0
tt0036809,5,The Falcon Out West,\N,\N,original,\N,1,tt0036809,movie,The Falcon Out West,The Falcon Out West,0.0,1944,\N,64,"Crime,Drama,Mystery",6.1,470.0
tt0036959,13,The Invisible Man's Revenge,\N,\N,original,\N,1,tt0036959,movie,The Invisible Man's Revenge,The Invisible Man's Revenge,0.0,1944,\N,78,"Horror,Sci-Fi",5.9,1586.0
tt0037263,5,The Seventh Cross,\N,\N,original,\N,1,tt0037263,movie,The Seventh Cross,The Seventh Cross,0.0,1944,\N,112,"Drama,War",7.4,2104.0
tt0037457,1,What's Cookin' Doc?,\N,\N,original,\N,1,tt0037457,short,What's Cookin' Doc?,What's Cookin' Doc?,0.0,1944,\N,9,"Animation,Comedy,Family",7.1,356.0
tt0037500,2,African Diary,\N,\N,original,\N,1,tt0037500,short,African Diary,African Diary,0.0,1945,\N,6,"Animation,Comedy,Family",6.5,350.0
tt0037753,1,A Gruesome Twosome,\N,\N,original,\N,1,tt0037753,short,A Gruesome Twosome,A Gruesome Twosome,0.0,1945,\N,7,"Animation,Comedy,Family",6.9,437.0
tt0037956,6,Odor-Able Kitty,\N,\N,original,\N,1,tt0037956,short,Odor-Able Kitty,Odor-Able Kitty,0.0,1945,\N,7,"Animation,Comedy,Family",7.1,510.0
tt0038143,1,Swing Shift Cinderella,\N,\N,original,\N,1,tt0038143,short,Swing Shift Cinderella,Swing Shift Cinderella,0.0,1945,\N,8,"Animation,Comedy,Short",7.5,630.0
tt0038300,20,Angel on My Shoulder,\N,\N,original,\N,1,tt0038300,movie,Angel on My Shoulder,Angel on My Shoulder,0.0,1946,\N,100,"Adventure,Comedy,Fantasy",6.8,2220.0
tt0038615,2,The Hoodlum Saint,\N,\N,original,\N,1,tt0038615,movie,The Hoodlum Saint,The Hoodlum Saint,0.0,1946,\N,91,"Drama,Music",6.3,401.0
tt0038622,25,Humoresque,\N,\N,original,\N,1,tt0038622,movie,Humoresque,Humoresque,0.0,1946,\N,125,"Drama,Music,Romance",7.4,3599.0
tt0039288,17,Cry Wolf,\N,\N,original,\N,1,tt0039288,movie,Cry Wolf,Cry Wolf,0.0,1947,\N,83,"Crime,Drama,Mystery",6.6,1174.0
tt0039485,15,An Ideal Husband,\N,\N,original,\N,1,tt0039485,movie,An Ideal Husband,An Ideal Husband,0.0,1947,\N,96,Comedy,6.5,532.0
tt0039676,18,The October Man,\N,\N,original,\N,1,tt0039676,movie,The October Man,The October Man,0.0,1947,\N,110,"Crime,Mystery",7.1,890.0
tt0039826,24,"Sinbad, the Sailor",\N,\N,original,\N,1,tt0039826,movie,"Sinbad, the Sailor","Sinbad, the Sailor",0.0,1947,\N,116,"Adventure,Fantasy,Romance",6.2,1696.0
tt0039839,10,Slick Hare,\N,\N,original,\N,1,tt0039839,short,Slick Hare,Slick Hare,0.0,1947,\N,8,"Animation,Comedy,Family",7.7,915.0
tt0040064,19,3 Godfathers,\N,\N,original,\N,1,tt0040064,movie,3 Godfathers,3 Godfathers,0.0,1948,\N,106,"Drama,Western",7.1,7644.0
tt0040394,3,The Golden Eye,\N,\N,original,\N,1,tt0040394,movie,The Golden Eye,The Golden Eye,0.0,1948,\N,69,"Comedy,Crime,Mystery",6.4,420.0
tt0040397,3,Gorilla My Dreams,\N,\N,original,\N,1,tt0040397,short,Gorilla My Dreams,Gorilla My Dreams,0.0,1948,\N,7,"Animation,Comedy,Family",7.4,1027.0
